age,education_years,weekly_workhours,digital_index,social_participation_index,gender_male,disabled,social_participant,agri_worker,disability_severity_ord,disability_vision,disability_mental,disability_walking,disability_hearing,disability_communication,disability_hand_finger,no_disability,digital_status,workhours_missing,region_Bali_Nusa,region_Eastern,region_Java,region_Kalimantan,region_Sulawesi,region_Sumatra
58.0,15.0,48.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
39.0,12.0,56.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
52.0,6.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
15.0,6.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
58.0,12.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
24.0,15.0,16.0,2.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
47.0,1.0,42.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
17.0,9.0,21.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
47.0,6.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
61.0,1.0,12.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
61.0,6.0,14.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
46.0,12.0,56.0,1.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
61.0,12.0,10.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
42.0,6.0,70.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
65.0,1.0,36.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19.0,12.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
36.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
22.0,12.0,16.0,1.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
41.0,6.0,40.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
15.0,6.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
41.0,6.0,28.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
36.0,12.0,0.0,0.0,0.33333334,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
67.0,1.0,0.0,0.0,0.33333334,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
35.0,12.0,40.0,2.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
31.0,9.0,56.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
21.0,12.0,60.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
20.0,12.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
29.0,12.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
40.0,9.0,24.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15.0,6.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
19.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
41.0,1.0,25.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15.0,6.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
56.0,1.0,48.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
74.0,1.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
66.0,6.0,20.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39.0,12.0,20.0,1.0,0.33333334,1,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
42.0,16.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
57.0,9.0,36.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
44.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
31.0,12.0,40.0,2.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
17.0,9.0,12.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
24.0,16.0,40.0,2.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
28.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
53.0,6.0,28.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
51.0,6.0,48.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
16.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
63.0,1.0,42.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
26.0,16.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
19.0,12.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
64.0,16.0,40.0,2.0,0.6666667,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
65.0,6.0,21.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
16.0,9.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
37.0,16.0,40.0,3.0,0.6666667,1,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
42.0,12.0,40.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
37.0,6.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
45.0,9.0,42.0,2.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
64.0,1.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
57.0,9.0,30.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
36.0,6.0,70.0,2.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
15.0,9.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
67.0,1.0,56.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
43.0,6.0,28.0,2.0,0.6666667,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
31.0,9.0,44.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
29.0,6.0,4.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
84.0,9.0,63.0,1.0,0.33333334,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
53.0,12.0,40.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
61.0,12.0,0.0,0.0,0.33333334,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20.0,12.0,4.0,1.0,0.6666667,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
41.0,16.0,40.0,2.0,0.6666667,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
25.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
48.0,6.0,56.0,1.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
61.0,6.0,42.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
38.0,15.0,60.0,2.0,0.33333334,1,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1
17.0,9.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
33.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
55.0,1.0,0.0,0.0,0.33333334,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
51.0,9.0,9.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42.0,1.0,48.0,0.0,0.33333334,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
42.0,12.0,56.0,1.0,0.6666667,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
61.0,1.0,0.0,0.0,0.33333334,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41.0,12.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
42.0,12.0,24.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
78.0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
21.0,12.0,35.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
41.0,9.0,36.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
18.0,9.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
47.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
43.0,12.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
40.0,6.0,48.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
29.0,12.0,24.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
64.0,6.0,4.0,1.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
32.0,16.0,30.0,3.0,0.6666667,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
42.0,9.0,35.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
45.0,6.0,56.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16.0,9.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
23.0,12.0,56.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
46.0,6.0,20.0,0.0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46.0,6.0,60.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
35.0,9.0,48.0,0.0,0.6666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
43.0,12.0,42.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
51.0,12.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
49.0,1.0,24.0,2.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
61.0,1.0,36.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
43.0,1.0,33.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
40.0,12.0,35.0,2.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
25.0,12.0,42.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20.0,12.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
66.0,9.0,32.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
21.0,12.0,56.0,0.0,0.33333334,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
58.0,1.0,36.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36.0,6.0,40.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
48.0,6.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
49.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
37.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
46.0,12.0,56.0,1.0,0.6666667,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
60.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
57.0,6.0,7.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
59.0,6.0,42.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
50.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
27.0,6.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
57.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
46.0,6.0,70.0,1.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
65.0,9.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
27.0,12.0,40.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
20.0,12.0,56.0,1.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
53.0,6.0,35.0,2.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
63.0,6.0,35.0,0.0,0.33333334,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
42.0,6.0,48.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
46.0,16.0,39.0,3.0,0.6666667,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
73.0,1.0,0.0,0.0,0.33333334,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
43.0,16.0,70.0,1.0,0.6666667,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
35.0,12.0,48.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
48.0,12.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
34.0,12.0,42.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18.0,6.0,35.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
30.0,16.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
26.0,12.0,30.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
61.0,1.0,25.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
64.0,9.0,30.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
62.0,1.0,28.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
15.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
48.0,9.0,28.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
34.0,1.0,39.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
37.0,16.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
68.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
20.0,12.0,36.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
55.0,6.0,25.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
26.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
61.0,12.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
36.0,9.0,35.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
16.0,9.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
33.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
23.0,12.0,21.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
36.0,12.0,56.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
40.0,6.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
56.0,6.0,38.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
61.0,12.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
34.0,6.0,14.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
62.0,12.0,30.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
16.0,9.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
40.0,1.0,28.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
23.0,16.0,14.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24.0,12.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
36.0,6.0,28.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
